BeerID,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod
68712,Specialty IPA,23,22.71,1.067,1.015,6.8,98.31,24.86,28.39,65,1.053,72,1.5,Specific Gravity,4
36559,Specialty IPA,23,20.82,1.054,1.01,5.77,44.07,25.41,28.39,60,1.04,70,N/A,Specific Gravity,4
49647,Specialty IPA,23,20.82,1.069,1.016,7,60.34,25.45,28.39,90,1.051,75,1.5,Specific Gravity,4
72947,Specialty IPA,23,22.71,1.072,1.015,7.43,64.59,25.94,28.39,60,1.057,65,N/A,Specific Gravity,3
73527,Specialty IPA,23,20.82,1.078,1.017,7.91,88.81,26.26,28.39,30,1.057,70,N/A,Specific Gravity,3
64164,Specialty IPA,23,18.93,1.051,1.013,5.04,0,26.36,28.39,90,1.034,70,1.5,Specific Gravity,4
66753,Specialty IPA,23,20.82,1.072,1.018,7.1,85.92,27.02,28.39,90,1.053,70,1.25,Specific Gravity,4
41499,Specialty IPA,23,20.82,1.069,1.017,6.78,86.68,27.25,28.39,60,1.051,60,N/A,Specific Gravity,3
52730,Specialty IPA,23,20.82,1.06,1.016,5.8,0,27.57,28.39,75,1.044,70,1.5,Specific Gravity,4
41112,Specialty IPA,23,20.82,1.06754448,1.017549844,6.56,106.1,27.9,28.39,60,12.3,70,1.5,Plato,4
31110,Specialty IPA,23,20.82,1.068,1.015,6.94,106.1,27.9,28.39,60,1.05,70,1,Specific Gravity,4
31805,Specialty IPA,23,20.82,1.014,1.003,1.37,25.73,28.06,28.39,60,1.01,35,N/A,Specific Gravity,3
65527,Specialty IPA,23,20.82,1.076,1.02,7.35,106.95,28.16,28.39,60,1.056,75,1.25,Specific Gravity,4
60430,Specialty IPA,23,20.82,1.06,1.014,6.02,45.5,28.41,28.39,60,1.044,67,N/A,Specific Gravity,3
14381,Specialty IPA,23,20.82,1.067,1.015,6.87,74.82,28.62,28.39,60,1.049,65,1.5,Specific Gravity,4
